Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Bryan Mbeumo,19,cm CMR,FW,25-045,90,45,1,13,12,20,5,45,1,0,0.0,1,100.0,24,101,53,2,0,1,1,0,31,6
Fabio Carvalho,14,pt POR,"FW,CM",22-022,86,36,1,8,15,13,3,36,2,1,50.0,1,50.0,20,102,42,2,1,0,2,1,21,1
Ryan Trevitt,28,eng ENG,CM,21-193,4,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1
Mikkel Damsgaard,24,dk DEN,CM,24-080,78,53,3,17,21,15,2,53,5,3,60.0,1,20.0,28,193,96,3,2,0,1,2,31,4
Yunus Emre Konak,26,tr TUR,CM,18-255,12,11,0,2,5,4,0,11,1,0,0.0,1,100.0,4,17,15,0,0,0,0,0,7,0
Vitaly Janelt,27,de GER,CM,26-134,90,58,5,33,17,8,0,58,0,0,,0,,22,98,43,0,1,0,0,0,38,1
Yehor Yarmoliuk,18,ua UKR,CM,20-204,62,51,8,26,16,10,0,51,1,1,100.0,0,0.0,22,94,16,0,3,0,1,1,29,2
Kevin Schade,7,de GER,FW,22-299,28,10,1,1,2,7,2,10,1,0,0.0,1,100.0,4,12,3,0,0,0,0,0,4,2
Keane Lewis-Potter,23,eng ENG,LB,23-212,90,44,4,11,16,17,2,44,3,1,33.3,2,66.7,26,132,41,0,1,0,3,1,30,6
Nathan Collins,22,ie IRL,CB,23-144,90,61,13,38,17,6,1,61,0,0,,0,,30,145,69,1,1,0,0,1,39,0
Ethan Pinnock,5,jm JAM,CB,31-115,90,67,24,48,16,3,1,67,0,0,,0,,22,150,76,0,0,0,0,0,34,0
Sepp van den Berg,4,nl NED,CB,22-276,90,75,17,52,18,5,1,75,0,0,,0,,30,75,41,0,0,0,1,0,44,1
Kristoffer Ajer,20,no NOR,RB,26-157,78,45,3,22,21,3,0,45,3,2,66.7,1,33.3,25,134,81,2,0,0,1,4,36,1
Mads Roerslev,30,dk DEN,RB,25-089,12,17,2,10,3,4,0,17,0,0,,0,,10,30,11,0,0,0,0,0,13,0
Mark Flekken,1,nl NED,GK,31-100,90,74,54,72,3,0,0,74,0,0,,0,,51,249,74,0,0,0,0,0,46,0
